CNN,STREET,COLOR
25263000,WASHINGTON,RED
27866000,39TH AVE,YELLOW
27866000,FULTON,RED
21290000,CESAR CHAVEZ,YELLOW
21290000,SHOTWELL,RED
27284000,06TH AVE,YELLOW
27284000,GEARY,RED
24995000,CLAY,YELLOW
24995000,STOCKTON,RED
24922000,06TH ST,RED
24922000,GOLDEN GATE,RED
24922000,MARKET,YELLOW
24922000,TAYLOR,RED
24610000,MISSION,YELLOW
24610000,NEW MONTGOMERY,RED
27025000,GORGAS,RED
27025000,LYON,YELLOW
27025000,RICHARDSON,RED
25230000,LEAVENWORTH,YELLOW
25230000,PINE,RED
20460000,03RD ST,YELLOW
20460000,JAMESTOWN,RED
26165000,HATTIE,YELLOW
26165000,MARKET,RED
26791000,FILLMORE,YELLOW
26791000,MARINA,RED
34023000,AVENUE OF THE PALMS,YELLOW
34023000,CALIFORNIA AVE,RED
24020000,17TH ST,YELLOW
24020000,POTRERO,RED
26586000,ELLIS,YELLOW
26586000,FILLMORE,RED
24673000,FRONT,YELLOW
24673000,PINE,RED
23797000,04TH ST,YELLOW
23797000,BERRY,RED
23032000,19TH AVE,YELLOW
23032000,HOLLOWAY,RED
27302000,11TH AVE,YELLOW
27302000,GEARY,RED
25222000,PINE,YELLOW
25222000,POLK,RED
24336000,14TH ST,YELLOW
24336000,FOLSOM,RED
25953000,FILLMORE,YELLOW
25953000,HAYES,RED
27857000,34TH AVE,YELLOW
27857000,GEARY,RED
23803000,02ND ST,YELLOW
23803000,BRANNAN,RED
20457000,03RD ST,YELLOW
20457000,EGBERT,RED
24711000,SANSOME,YELLOW
24711000,WASHINGTON,RED
30730000,FREMONT,RED
30730000,FRONT,YELLOW
30730000,MARKET,RED
23553000,22ND ST,YELLOW
23553000,ILLINOIS,RED
23016000,HOLLOWAY,YELLOW
23016000,JUNIPERO SERRA,RED
25963000,GOUGH,YELLOW
25963000,TURK,RED
26490000,EDDY,YELLOW
26490000,GOUGH,RED
24748000,CALIFORNIA,YELLOW
24748000,KEARNY,RED
22192000,GENEVA,RED
22192000,OCEAN,YELLOW
22192000,PHELAN,RED
23798000,04TH ST,YELLOW
23798000,KING,RED
26704000,NORTH POINT,YELLOW
26704000,POLK,RED
24265000,07TH ST,YELLOW
24265000,HOWARD,RED
52239000,OCEAN,YELLOW
52239000,OFF RAMP I-280,RED
21765000,MISSION,YELLOW
21765000,SILVER,RED
23569000,18TH ST,YELLOW
23569000,ILLINOIS,RED
23941000,06TH ST,YELLOW
23941000,FOLSOM,RED
10293000,PARNASSUS,RED
10293000,MIDBLOCK AT,YELLOW
10293000,UCSF HOSPITAL,RED
13578101,WEST PORTAL,RED
13578101,MIDBLOCK AT,RED
13578101,14TH AVE,YELLOW
13578101,VICENTE,RED
25942000,GOLDEN GATE,YELLOW
25942000,GOUGH,RED
50069000,FREMONT,YELLOW
50069000,I-80 OFF-RAMP,RED
22433000,EVELYN,YELLOW
22433000,PORTOLA,RED
22460000,ALEMANY,RED
22460000,REGENT,RED
22460000,SAN JOSE,YELLOW
22460000,US I-280 ON RAMP,RED
24910000,STOCKTON,YELLOW
24910000,SUTTER,RED
23308000,LAKE MERCED,YELLOW
23308000,SUNSET,RED
24335000,15TH ST,YELLOW
24335000,FOLSOM,RED
30742000,07TH ST,RED
30742000,CHARLES J BRENHAM,YELLOW
30742000,MARKET,RED
24186000,15TH ST,YELLOW
24186000,POTRERO,RED
20700000,EVANS,YELLOW
20700000,RANKIN,RED
26622000,POST,YELLOW
26622000,SCOTT,RED
25057000,BROADWAY,YELLOW
25057000,STOCKTON,RED
27444000,FULTON,YELLOW
27444000,PARK PRESIDIO,RED
26245000,CLARENDON,YELLOW
26245000,PANORAMA,RED
26816000,BRODERICK,YELLOW
26816000,BUSH,RED
23963000,23RD ST,YELLOW
23963000,POTRERO,RED
24550000,EMBARCADERO,YELLOW
24550000,MISSION,RED
23827000,04TH ST,YELLOW
23827000,BRANNAN,RED
20427000,ESQUINA,YELLOW
20427000,GENEVA,RED
24867000,GREENWICH,YELLOW
24867000,SANSOME,RED
21353000,DUNCAN,YELLOW
21353000,GUERRERO,RED
26552000,VALLEJO,YELLOW
26552000,VAN NESS,RED
25880000,15TH ST,RED
25880000,MARKET,YELLOW
25880000,SANCHEZ,RED
30745000,09TH ST,RED
30745000,HAYES,RED
30745000,LARKIN,YELLOW
30745000,MARKET,RED
24294000,06TH ST,YELLOW
24294000,JESSIE,RED
23991000,23RD ST,YELLOW
23991000,FOLSOM,RED
25384000,BAY,YELLOW
25384000,KEARNY,RED
54015000,BUCHANAN,YELLOW
54015000,GEARY,RED
23967000,22ND ST EAST,YELLOW
23967000,POTRERO,RED
23534000,CESAR CHAVEZ,YELLOW
23534000,ILLINOIS,RED
21522000,ALEMANY,RED
21522000,HURON,YELLOW
21522000,OTTAWA,RED
23897000,06TH ST,YELLOW
23897000,BRYANT,RED
7834201,KING,RED
7834201,MIDBLOCK AT,RED
7834201,04TH ST,YELLOW
7834201,05TH ST,RED
26802000,DIVISADERO,YELLOW
26802000,O'FARRELL,RED
26536000,SACRAMENTO,YELLOW
26536000,VAN NESS,RED
26004000,14TH ST,YELLOW
26004000,CASTRO,RED
27527000,28TH AVE,YELLOW
27527000,FULTON,RED
26525000,BUSH,YELLOW
26525000,LAGUNA,RED
27840000,30TH AVE,YELLOW
27840000,GEARY,RED
25261000,HYDE,YELLOW
25261000,WASHINGTON,RED
24671000,BATTERY,YELLOW
24671000,PINE,RED
23411000,RIVERA,YELLOW
23411000,SUNSET,RED
24949000,BUSH,YELLOW
24949000,MASON,RED
26345000,MASONIC,YELLOW
26345000,OAK,RED
10669201,POTRERO,RED
10669201,MIDBLOCK AT,RED
10669201,22ND ST,YELLOW
10669201,23RD ST,RED
26546000,GOUGH,YELLOW
26546000,JACKSON,RED
30056000,DAVIS,YELLOW
30056000,WASHINGTON,RED
34166000,TERRY FRANCOIS,YELLOW
34166000,WARRIORS,RED
20491000,03RD ST,RED
20491000,LANE,YELLOW
20491000,YOSEMITE,RED
24575000,CLAY,YELLOW
24575000,DRUMM,RED
21296000,26TH ST,YELLOW
21296000,SOUTH VAN NESS,RED
21337000,FAIR,RED
21337000,MISSION,YELLOW
21337000,VALENCIA,RED
8776104,MARKET,RED
8776104,MIDBLOCK AT,RED
8776104,ARGENT,YELLOW
8776104,ROMAIN,RED
1030000,US I-280,RED
1030000,MIDBLOCK AT,RED
1030000,20TH ST,YELLOW
1030000,INDIANA,RED
24018000,16TH ST,YELLOW
24018000,UTAH,RED
20472000,03RD ST,RED
20472000,GILMAN,YELLOW
20472000,PAUL,RED
34167000,04TH ST,YELLOW
34167000,CHANNEL,RED
25255000,HYDE,YELLOW
25255000,SACRAMENTO,RED
25865000,DOLORES,YELLOW
25865000,MARKET,RED
4777101,DIAMOND HEIGHTS,RED
4777101,MIDBLOCK AT,RED
4777101,DUNCAN,YELLOW
4777101,GOLD MINE,RED
24291000,07TH ST,YELLOW
24291000,MINNA,RED
24123000,19TH ST,YELLOW
24123000,FOLSOM,RED
5939000,FULTON,RED
5939000,MIDBLOCK AT,RED
5939000,32ND AVE,YELLOW
5939000,33RD AVE,RED
20465000,03RD ST,YELLOW
20465000,US 101 OFF RAMP,RED
27981000,FULTON,YELLOW
27981000,GREAT HWY,RED
27424000,25TH AVE,YELLOW
27424000,LINCOLN,RED
11780000,22ND ST,RED
11780000,MIDBLOCK AT,RED
11780000,POTRERO,YELLOW
11780000,SAN BRUNO,RED
24590000,03RD ST,YELLOW
24590000,HOWARD,RED
30758000,BUCHANAN,RED
30758000,DUBOCE,YELLOW
30758000,MARKET,RED
27286000,06TH AVE,YELLOW
27286000,CLEMENT,RED
27369000,20TH AVE,YELLOW
27369000,JUDAH,RED
26915000,CALIFORNIA,YELLOW
26915000,WALNUT,RED
23946000,06TH ST,YELLOW
23946000,HOWARD,RED
26594000,GEARY,YELLOW
26594000,STEINER,RED
25301000,POLK,YELLOW
25301000,SACRAMENTO,RED
23161000,19TH AVE,YELLOW
23161000,ULLOA,RED
30719000,BATTERY,RED
30719000,FILBERT,YELLOW
30719000,LEVI PLAZA,RED
24462000,MCALLISTER,YELLOW
